,comment
91,"Muito bom, sem problema algum, e claro q não é os top mas ajuda muito."
92,"Produto cumpre o que promete dentro de suas limitações, excelente para as tarefas que necessito."
93,"Ótimo processador! se saiu mto bem em games. Até nos mais pesados com qualidade em alto. Mas para jogos como the witcher 3, battlefield 5 e assassin's creed odyssey, recomendo fortemente um i7 4790k."
94,"Excelente processador, aumentou muito o desempenho do computador."
95,Perfeito. Superou a expectativa.
96,Excelente.
97,Comprei usado e nao me decepcionou. Rapido para a epoca em que foi lançdo.
98,"Muito bom, produto bem conservado atendeu todoas as espectativas."
99,Muito bom! atendeu prontamente às expectativas!.
100,Por enquanto sem nenhum problema. Produto de confiança. Funciona perfeitamente.
101,Produto funcionando perfeitamente. Excelente.
102,"É ó5timo, funcionou perfeitamente."
103,Por enquanto funcionando normalmente.
104,Esse processador é muito bom só que ele não coube em minha placa mãe até porque nas especificações do produto não falava qual era o encaixe dele (uma coisa que é bem comum em questão dos processadores tanto quanto intel e amd é falar qual o modelo de placa mãe aceita ele ou qual é o socket dele) então teria que devolver já que não coube no meu pc. Eu pensei que ele iria caber no meu pc já que é da mesma geração da minha placa mãe só que não coube.
105,"O processador veio em ótimo estado, funcionou perfeitamente, porém não é 3 núcleos ele tem apenas 2 núcleos, de resto está ok, eu tenho um que estava aquecendo e desligando o pc, troquei e ficou perfeito!."
106,"Tudo dentro da expectativa, à pesar do atraso."
107,"Funcionou de primeira, recomendo demais. Saímos de um athlon x2 4000 @2,1ghz."
108,Ótimo produto!. Atendeu minha expectativa!.
109,"É bom, funciona, é rapido para tarefas comuns do dia como navegar na internet e youtube."
110,Deu tudo serto o produto e otimo.
111,"Excelente produto, muito bom recomendo."
112,Excelente processador. Deixou minha máquina muito mais veloz.
113,Produto de excelente qualidade. Funcionando perfeitamente. Recomendo a todos do mercado livre.
114,Muito bom melho que eu esperava.
115,"Otimo produto, funcionou perfeitamente."
116,"Ótimo produto, atende as exigências."
117,"Perfeito funcionamento, com qualidade e velocidade dentro dos seus limites, muito bom."
118,Produto bom custo benefício. Vale a pena.
119,Produto de boa qualidade e ótima performance.
120,Top!.
121,Bom processador da geração passada. Ainda tem muita lenha pra queimar. Recomendo.
122,"Muito bom, recomendo, funcionais perfeitamente e minha cpu melhorou consideravelmente."
123,"Esta funcionando muito bem, e bem rapido."
124,"Funcionou perfeitamente no meu aspire 4349-2839, agora posso até rodar alguns jogos nele, troquei o b815 por esse."
125,Excelete qualidade! funcionou direitinho!! otimo.
126,Muito bom! recomendo.
127,"Nada mais e nada menos do que o esperado, o processador é top."
128,"Péssimo, não funcionou é não quiseram fazer a troca, terei que entrar na justiça."
129,Produto realmente bom.
130,"Comprei processador anunciado como novo, entretanto o produto é usado. Estava com marcas de pasta térmica e não veio na caixa da intel."
131,Qualidade e rapidez. Recomendo bastante.
132,"Excelente produto, indico a todos do ml."
133,Excelente produto. Exatamente como anunciado.
134,"Muito bom, funcionando perfeitamente como esperado."
135,"Funcionando perfeitamente, ótimo processador."
136,Tudo certo funcionando perfeitamente.
137,This´s a great product thank you.
138,"Achei muito bom, estou abrindo tudo muito rápido, com multitarefa e esquenta menos que meu processador antigo! estou amando! criando jogos na unreal engine e 3 monitores!."
139,Produto top de linha.
140,Testado e aprovado! muito obrigado! rodando lisinho!!.
141,"Processador top, desempenho extremo."
142,Bom produto muito bom recomendo a compra realmente um produto com ótimo desempenho.
143,Nada à reclamar. Melhor processador de todos.
144,"Produto novo, ótimas condições e funcionando perfeitamente. A linha xeon tem potencial para muito mais do que suas especificações quando o usuário sabe aproveitar seu potencial. Ademais, mesmo um usuário padrão de computador ainda pode tirar muita qualidade, e é uma alternativa ótima de quatro núcleos para o soquete 1156 da intel."
145,"Funciona perfeitamente em placa mãe mw-h55h-cm da megaware (versão da bios 16/11/2010). Recomendo uma asus p7h55-m para rodar com esse processardor, inclusive estarei adquirindo em breve. A p7h55-m é uma placa que já tem opção para oc (overclock), já a mw-h55h-cm não tem."
146,"Muito muito bom, deu certo pra que eu queria."
147,Produto 100%. Funcionando perfeitamente.
148,Excelente processador! não tem erro se vc procura algo barato e com ótimo desempenho! (precisa de gpu pra rodar pois não possui vídeo integrado).
149,"Funciona com qualquer placa, só não tem video, precisa de placa de video para isso, perfeito."
150,"Ótimo processador para quem trabalha com design gráfico e sofre com arquivos pesados, anteriormente usava um fx4300 e vivia no talo, agora mal ocupa 15% do processador, muito bom mesmo mas todo o resto do kit também faz diferença, compre se você possuir memorias ram boas e placa de video, é ótimo."
151,"Gostei bastante, eu tinha um a10 9700 antes, esse deu um baile nele! agora rodam os jogos que eu queria jogar, sem problema nenhum =)."
152,"Encontrei o produto com o preço bem maior do que eu esperava (afinal, a maioria se não todos os itens de tecnologia estão só ficando mais caro), entretanto, eu gostei do mesmo."
153,"Simplesmente top, sem sombra de dúvidas um dos melhores processadores. Infelizmente o dólar não coopera para que o preço seja mais acessível, mas está ótimo."
154,"Ainda não forcei esse processador ao máximo, mas por enquanto estou totalmente satisfeito com sua performance."
155,"Muito bom , recomendo com toda a certeza a quem se interessar."
156,"Produto excelente, processamento suficiente para diversos softwares e games de forma simultânea, top demais!."
157,"Processador incrível para o preço que tem, custo beneficio fora da curva, desempenho muito bom mesmo."
158,"Substituí pelo anterior ryzen 1600, praticamente igual ao outro, roda todos os games sem gargalo, red dead, witcher 3, pes 2021, ac valhala entre outros, ainda ficarei um tempo com ele antes de upar para o ryzen 7! ótimo custo benefício!."
159,"Não é um dos melhores, mas deu um belo upgrade no pc vale muito a pena, mas fique atento não tem video on board."
160,Recomendo a todos.
161,"Péssimo produto com defeito , e não fizeram a troca."
162,Atende a todas as minhas expectativas. Recomendo a todos do ml.
163,"Resolveu meu problema, entao perfeito."
164,Comprei as minhas necessidades.
165,Produto muito bom eu gostei muito.
166,"Até o momento está tudo ok, processador muito bom."
167,Produto excepcional! super recomendo!.
168,Por enquanto top das galáxias computador melhorou 100%.
169,"Produto bom, comprei pra jogos e lives, ajudou muito meu setup e deu uma melhora absurda de fps nos jogos recomendo pra quem quiser."
170,Muito bom roda todos meus jogos e planilhas e programas.
171,"Excelente, rápido, overclock disponivel. Sem defeitos, parecia zero."
172,Gostei bastante está dando conta de efetuar os trabalhos que preciso fazer com edição de vídeo.
173,"Muito bom, excelente produto. Recomendo."
174,Professor de entrada com ótimo custo benefício!!!.
175,Excelente processador. Cumpre o que promete!!!!.
176,Top demais excelente produto rizen tá de parabéns adorei o produto.
177,Esse foi o melhor processador que eu já tive.
178,"Processador poderoso, estou supreso."
179,"Ótimo produto, recomendo a compra."
180,Muito bom e friozinho podem compra sem medo.
181,"Processador 100%, desempenho acima do esperado."
182,"Sempre usei os processadores da amd e vou continuar usando pois dão um verdadeiro ""banho"" nos processadores similares da intel e por um preço muito mais acessível. Comprei para substituir o meu guerreiro fx 6600 kkk. Esse ryzen tem performance super top, deu um salto gigantesco em fps e nas minhas renderizações, mas não esperava menos. Amd nunca me decepcionou."
183,"Um dos, senão o melhor custo benefício."
184,Melhor custo benefício do momento.
185,Ótimo recomendo a todos do ml muito bom.
186,Um dos melhores processadores em termos de custo-beneficio.
187,"Muito bom, trava um pouco, é pior como processador do que meu antigo i7 3770s que estou vendendo. Pelo menos é atual, e a placa mãe suporta diversas tecnologias que compensam."
188,Tudo certo funcionando perfeitamente.
189,Muito ótimo. Obrigado a todos pelo o bom empenho em fazer e vender produtos do tipo. Abraços e fiquem com deus.
190,"Processador gamer intel core i3-2120 cm8062301044204 de 2 núcleos e 3. 3ghz de frequência com gráfica integrada muito boa, funcionou perfeitamente e com ótimo desempenho."
191,Processador gamer intel core i3-2120 cm8062301044204 de 2 núcleos e 3. 3ghz de frequência com gráfica integrada.
192,"O acondicionamento não estava tão bom, mas o produto funcionou."
193,Atendeu as expectativas.
194,Muito bom demais obrigado.
195,"Atendeu muito minhas expectativas, recomendo bastante."
196,"Muito bom , de acordo."
197,Produto excelente e de qualidade ótima!.
198,Produto muito bom pode comprar sem problema.
199,Muito bom obrigado pode comprar.
200,Perfeito exatamente o que eu queria muito bom.
201,Excelente. Produdo de alta qualidade.
202,"Processador muito bom, instalado e funcionando perfeito."
203,"Ótimo produto, funcionou perfeitamente!."
204,"Excelente desempenho, não trava tem importante dados, e para explicar está mostrando que foi bom negócio."
205,Em pleno funcionamento. Ótimo processador.
206,Excelente produto recomendo a todos!.
207,Funcionou certinho é um bom processador para as tarefas básicas do dia a dia.
208,"Apesar de ser de 2a. Geração o produto atendeu as minhas espectativas, muito bom e rápido."
209,"Muito bom produto , colquei e funcionou , epero que continue funcionando."
210,"Comprei e não tiver problem, ótimo produto pode confiar vale apena abraço."
211,Bom funcionou normalmente preço legal.
212,Deu tudo certo. Produto funcionando perfeitamente. Valeu valeu.
213,"Perfeito e super rapido, vou comprar com vcs novamente."
214,Produto conforme anunciado. Sem restrições. Recomendo.
215,"O pc ficou bem mais rápido e melhor. Pelo valor, valeu muito à pena."
216,Processador bom e funcional ao colocar no pc funcionou perfeitamente.
217,"Produto funcionando perfeitamente, indico a todos."
218,Exatamente o que eu estava procurando.
219,Muito bom gostei demais só não testei ainda.
220,Ótimo processador funcionando perfeitamente.
221,"Dentro do esperado, um ótimo custo benefício para jogos casuais e e-sports."
222,"Processador nota 10, atendeu todas as necessidades!! super recomendo!!!."
223,Muito bom funciona muito bem roda jogos.
224,Ótimo custo beneficio.
225,Funcionando perfeitamente. Conforme anunciado.
226,"Gostei muito do produto, cumpre o especificado."
227,"Muito bom, funcionou perfeitamente e atendeu todas as minhas espectativas."
228,"Otimo processador, custo beneficio para taferas mais simples e alguns jogos."
229,"Excelente, perfeito, tudo ok com o produto, podem confiar."
230,"Muito bom amei, útil d mais para o meu uso profissional."
231,Muito bom produto de ótima qualidade.
232,Funcionou certo cumpri com a função. Aquenta alguns jogos.
233,Ok tudo certo e como esperando. Recomendo.
234,"So depois que comprei vi que não era novo, mas ta funcionando que é o que importa."
235,Veio tudo certinho como na discrição.
236,Produto otimo. Cumpre o desempenho.
237,Trabalho com desenv de programas em angular e em servidor rest com java e não travou nenhuma vez.
238,"Está tudo funcionando normalmente. É um bom processador para quem deseja ter um pc de uma performance, incluindo para um pc gamer. Mas é interessante colocar um placa de vídeo offboard, pois, mesmo que ele venha com placa gráfica embutida, ela não roda direito a maioria dos jogos da atualidade."
239,Um excelente processador. É pau a pau com o i7 de meu outro desktop.
240,"Produto original, funcionando corretamente."
241,Resolveu bem os meus problemas.
242,"Atendeu minhas expectativas, recomendo."
243,Excelente processador atendeu a minha necessidade.
244,Muito bom atendeu minha expectativa.
245,Para os jogos atuais n presta muito.
246,Excelente não tive nenhum problema recomendo.
247,"Tudo ok, nota 10. Processador antigo mas ainda resistente bem pra performance em games."
248,"Cara em questão de performance, nao deixa a desejar. Ótimo processador. Porem vc terá q ter meios pra refrigerar pq meu amigo, bagulho esquenta. O cooler comum q vem não aguenta toda portencia do processador. Vc tera q comprar um cooler melhor ou um watercooler. Entretanto nao deixa de top de linha."
249,Produto excelente. Funcionado perfeitamente.
250,"Processador muito bom, deu outra vida na jogatina, recomendo."
251,Bom.
252,Muito ótimo. Obrigado a todos pelo o bom empenho em fazer e vender produtos do tipo. Abraços e fiquem com deus.
253,"Processador gamer intel core i3-2120 cm8062301044204 de 2 núcleos e 3. 3ghz de frequência com gráfica integrada muito boa, funcionou perfeitamente e com ótimo desempenho."
254,Processador gamer intel core i3-2120 cm8062301044204 de 2 núcleos e 3. 3ghz de frequência com gráfica integrada.
255,"O acondicionamento não estava tão bom, mas o produto funcionou."
256,Atendeu as expectativas.
257,Muito bom demais obrigado.
258,"Atendeu muito minhas expectativas, recomendo bastante."
259,"Muito bom , de acordo."
260,Produto excelente e de qualidade ótima!.
261,Produto muito bom pode comprar sem problema.
262,Muito bom obrigado pode comprar.
263,Perfeito exatamente o que eu queria muito bom.
264,Excelente. Produdo de alta qualidade.
265,"Processador muito bom, instalado e funcionando perfeito."
266,"Ótimo produto, funcionou perfeitamente!."
267,"Excelente desempenho, não trava tem importante dados, e para explicar está mostrando que foi bom negócio."
268,Em pleno funcionamento. Ótimo processador.
269,Excelente produto recomendo a todos!.
270,Funcionou certinho é um bom processador para as tarefas básicas do dia a dia.
271,"Apesar de ser de 2a. Geração o produto atendeu as minhas espectativas, muito bom e rápido."
272,"Muito bom produto , colquei e funcionou , epero que continue funcionando."
