,comment
93,"Fiquei impressionado. Depois de pesquisar um bocado, vi reações mistas ao t13. Comprei o produto tendo todas em mente e as minhas expectativas foram superadas. Ainda não testei completamente a questão da carga, mas depois de cerca de duas horas de uso, a bateria ainda se encontra em 80%. Nenhuma falha de conexão: nem caminhando na rua com o celular no bolso, nem caminhando pela casa com o celular ou computador no quarto fechado. A qualidade é excepcional pelo preço. Achei o balanceamento entre agudos, médios e graves muito bom (com um pouco mais ênfase nos dois últimos). O design dos fones é ótimo - pra adaptação ao meu ouvido precisei trocar para as borrachinhas menores, mas elas se adaptaram perfeitamente. A case também tem um design bem bonito, toda em plástico, mas nitidamente resistente. O microfone não é uma característica muito boa: ele não capta tão bem os sons quando mais baixos. Portanto, pra quem não costuma falar alto em ligações, isso pode ser um probleminha. De qualquer forma, como meu objetivo principal com ele é ouvir música no celular e assistir a séries no pc, estou muito satisfeito."
94,"Comprei o fone a pouco mais de uma semana, e desde então tenho utilizado todos os dias. Até o momento estou satisfeita com a minha compra, a duração da bateria dos fones e da caixa são excelentes, uso direto umas 3h por dia e ele sempre volta pra caixinha na faixa dos 60-80%. A qualidade do som me agradou, não sou exigente com relação a graves e afins, por isso o fone me atende bem, o som é alto e limpo, que para mim, é o que importa. As borrachinha (vem 3 tamanhos) vedam bem os ouvidos e dificilmente eles caem da orelha, mas já aconteceu de cair no meio do exercício, vou testar com os outros tamanhos pra ver se melhora. No mais, eu mais do que recomendo esse produto, tem um bom tamanho, qualidade no audio, conecta super rápido e só falha quando o celular está a mais de 4, 5 metros de distância e pra quem curte o app da qcy oferece uma porção de configurações que ajustam a qualidade do som. Excelente custo-benefício."
95,"Volume do fone é ok. Níveis de graves e agudos balanceados, mas nada extraordinário. Tive uma dificuldade enorme do app qcy detectar os fones. Ao conectar os dois fones via bluetooth o app não detectava. Depois de muitas tentativas, descobri que o app só detecta os fones se vc conectar primeiro só o lado direito. Deixa o lado esquerdo dentro do estojo e retira só o direito primeiro. Espera o app encontrar, depois que ele encontrar, pode conectar o esquerdo tbm. Fica a dica aí pra quem tiver com dificuldade. Isso eu descobri por conta própria. Nem no site, nem no manual e em nenhum outro lugar da internet tinha informando sobre isso."
96,"Um dos fones veio sem funcionar , não recomendo."
97,"Um dos lados do fone parou de funcionar com 2 meses de uso, sendo que não caiu no chão e nem aconteceu nada. Estou completamente insatisfeito com a minha compra. Sem opção de troca ou reparação. Descaso total."
98,Muito bom. Baterias boas e o preço ótimo. Agr. Pra quem gostou que compre um original por 300. 00.
99,Superou as expectativas.
100,"Produto de boa qualidade, mas o som um pouco baixo, mesmo regualndo no aparelho celular e a duração da bateria e pouca. Mas vale o custo beneficio."
101,"Adorei o produto, áudio muito bom, fone bastante confortável."
102,Não presta.
