,comment
88,Excelente produto! iphones são iphones! qualidade 100%.
89,Estou satisfeito.
90,E um produto muito bom. Esta atualizando direitinho.
91,Muito bom. Comprei para meu filho ele gostou muitp.
92,"Produto maravilhoso , realmente cumpriu todas as minhas expectativas."
93,"Smartphone top de linha da apple e lider de mercado em seu segmento de ""tela pequena"". Duracao da bateria é aceitavel e poder de processamento é excelente."
94,Em se tratando de iphone estarei sempre satisfeito.
95,"Muito otimo, demais recomendo a todos do ml."
96,"Produto não é novo e nao vem lacrado, esta em otimaa condiçoes, porem nota fiscal nao veio em meu nome."
97,"Muito bom , pratico , facil de mexer util."
98,"Aparelho zerado, na caixa lacrada no plastico, muito lindo e funcionando muito bem, vale muito a pena comprar, mesmo em 2019."
99,Ruim ! não comprem. Com apenas dois meses e meio de uso estou tendo sérios problemas ele desliga sozinho a todo momento e a bateria não dura!.
100,"Gostei bastante! ótimo produto, superou minha expectativa. Estou simplesmente apaixonada."
101,O celular é excelente. O iphone é e sempre será um celular muito bom. Este não fica atrás.
102,"Maravilhoso, o produto é perfeito! super recomendo."
103,Fanstasfico muito modrno bem svansado.
104,"Celular maravilhosooo! se voces tiverem como comprar, compre!."
105,Otimo telefone!!! meu primeiro iphone. Sempre tive android. Estou amando!!!!.
106,"Otimo celular e muito lindo tbm, maravilhoso, camera perfeita!!!!!!!!."
107,"Exatamente com esperava, top !."
108,O produto está com defeito nem usei direto já deu problemas na câmera áudio não saí da câmera filmagem traseira e as imagens as vezes destorcem.
109,Esquenta demais não posso nem usar o facebook meia hora afffff. É o que eu mais uso aí fica difícil.
110,"Aparelho muito excelente, mas porem veio sem algumas configuraçoes. Mais vale a pena muito bom. Atende as minhas necessidades. Recomendo!!!."
111,"Perfeito, produto veio em ótimo estado, embaladinho direitinho, com os acessórios auxiliares de qualidade e ainda uma capinha e película de brinde."
112,"Produto ja tinha sido trocado a frente(pessimo produto, nao recomendo)."
113,"É um iphone né, não precisa falar muito!!!! extremamente confiável para tarefas importantes. Não te deixa na mão quando mais precisa, como o ""concorrente"" faz. Vale o preço que se paga. Não é só um símbolo de status, como a maioria das pessoas pensa, é objetivamente melhor que as outras marcas quando se trata de uso profissional. Nem os ""concorrentes"" top de linha tem a confiabilidade de um iphone, mesmo um low-end como esse."
114,"Muito bom, presente para meu filho."
115,"Muito lindo, estou encantada. Estou tendo um pouquinho de dificuldade pra usá-lo ; pois é meu primeiro aiphone. Mais a cor , o tamanho ,e o desempenho são ótimos. A bateria dura o dia tudo. Nota 1. 000."
116,Maravilhoso minha filha adorou ela usa para realiza pesquisas na escola e ate o momento esta tudo ok. Eu super recomendo.
